year;time_min;time_max;t2min_weighted_mean;cao_index_max
1941.0;1940-12-01;1941-02-28;-7.883;0.828
1942.0;1941-12-01;1942-02-28;-9.422;1.973
1943.0;1942-12-01;1943-02-28;-8.382;1.828
1944.0;1943-12-01;1944-02-29;-7.103;0.581
1945.0;1944-12-01;1945-02-28;-8.523;1.667
1946.0;1945-12-01;1946-02-28;-8.442;1.394
1947.0;1946-12-01;1947-02-28;-7.191;0.915
1948.0;1947-12-01;1948-02-29;-9.594;1.551
1949.0;1948-12-01;1949-02-28;-5.3;0.758
1950.0;1949-12-01;1950-02-28;-6.385;1.446
1951.0;1950-12-01;1951-02-28;-6.872;1.9
1952.0;1951-12-01;1952-02-29;-6.483;1.413
1953.0;1952-12-01;1953-02-28;-5.026;0.529
1954.0;1953-12-01;1954-02-28;-6.192;1.385
1955.0;1954-12-01;1955-02-28;-7.4;1.308
1956.0;1955-12-01;1956-02-29;-7.469;1.388
1957.0;1956-12-01;1957-02-28;-7.495;2.117
1958.0;1957-12-01;1958-02-28;-6.982;1.457
1959.0;1958-12-01;1959-02-28;-10.288;1.677
1960.0;1959-12-01;1960-02-29;-5.639;0.765
1961.0;1960-12-01;1961-02-28;-9.234;1.842
1962.0;1961-12-01;1962-02-28;-8.442;1.836
1963.0;1962-12-01;1963-02-28;-10.124;1.862
1964.0;1963-12-01;1964-02-29;-8.489;1.183
1965.0;1964-12-01;1965-02-28;-8.759;1.999
1966.0;1965-12-01;1966-02-28;-6.916;1.553
1967.0;1966-12-01;1967-02-28;-8.156;2.188
1968.0;1967-12-01;1968-02-29;-9.175;2.473
1969.0;1968-12-01;1969-02-28;-7.084;1.422
1970.0;1969-12-01;1970-02-28;-9.596;1.946
1971.0;1970-12-01;1971-02-28;-8.91;2.215
1972.0;1971-12-01;1972-02-29;-8.048;2.139
1973.0;1972-12-01;1973-02-28;-7.569;1.837
1974.0;1973-12-01;1974-02-28;-7.331;1.01
1975.0;1974-12-01;1975-02-28;-5.775;1.074
1976.0;1975-12-01;1976-02-29;-8.506;2.091
1977.0;1976-12-01;1977-02-28;-10.445;1.734
1978.0;1977-12-01;1978-02-28;-9.223;1.511
1979.0;1978-12-01;1979-02-28;-9.251;2.416
1980.0;1979-12-01;1980-02-29;-7.33;1.096
1981.0;1980-12-01;1981-02-28;-9.0;2.501
1982.0;1981-12-01;1982-02-28;-9.023;2.797
1983.0;1982-12-01;1983-02-28;-5.447;0.86
1984.0;1983-12-01;1984-02-29;-7.672;2.224
1985.0;1984-12-01;1985-02-28;-7.384;1.837
1986.0;1985-12-01;1986-02-28;-8.519;1.343
1987.0;1986-12-01;1987-02-28;-6.812;1.314
1988.0;1987-12-01;1988-02-29;-7.271;1.866
1989.0;1988-12-01;1989-02-28;-7.818;1.427
1990.0;1989-12-01;1990-02-28;-8.272;1.7
1991.0;1990-12-01;1991-02-28;-6.503;1.365
1992.0;1991-12-01;1992-02-29;-7.279;1.538
1993.0;1992-12-01;1993-02-28;-8.01;1.337
1994.0;1993-12-01;1994-02-28;-10.062;2.759
1995.0;1994-12-01;1995-02-28;-5.886;1.938
1996.0;1995-12-01;1996-02-29;-8.887;1.991
1997.0;1996-12-01;1997-02-28;-6.355;1.951
1998.0;1997-12-01;1998-02-28;-4.59;1.087
1999.0;1998-12-01;1999-02-28;-5.925;1.24
2000.0;1999-12-01;2000-02-29;-6.407;1.62
2001.0;2000-12-01;2001-02-28;-8.231;0.625
2002.0;2001-12-01;2002-02-28;-3.864;0.13
2003.0;2002-12-01;2003-02-28;-8.892;1.56
2004.0;2003-12-01;2004-02-29;-8.272;1.893
2005.0;2004-12-01;2005-02-28;-7.765;1.645
2006.0;2005-12-01;2006-02-28;-5.587;0.718
2007.0;2006-12-01;2007-02-28;-6.159;1.236
2008.0;2007-12-01;2008-02-29;-6.47;0.814
2009.0;2008-12-01;2009-02-28;-8.466;2.17
2010.0;2009-12-01;2010-02-28;-5.959;0.623
2011.0;2010-12-01;2011-02-28;-7.458;1.722
2012.0;2011-12-01;2012-02-29;-4.603;0.635
2013.0;2012-12-01;2013-02-28;-5.668;1.586
2014.0;2013-12-01;2014-02-28;-8.916;1.8
2015.0;2014-12-01;2015-02-28;-9.445;1.964
2016.0;2015-12-01;2016-02-29;-3.867;2.156
2017.0;2016-12-01;2017-02-28;-4.267;0.847
2018.0;2017-12-01;2018-02-28;-7.187;1.737
2019.0;2018-12-01;2019-02-28;-7.091;1.606
2020.0;2019-12-01;2020-02-29;-4.659;0.651
2021.0;2020-12-01;2021-02-28;-5.089;0.285
2022.0;2021-12-01;2022-02-28;-7.382;1.108
